livingroom:lamp1,1342775987,0,4
livingroom:lamp2,1342775990,0,4
livingroom:dvd,1342775994,0,4
livingroom:receiver,1342776000,0,4
livingroom:subwoofer,1342776023,11,4
livingroom:wii,1342776031,2,4
kitchen:panini,1342776037,0,25
kitchen:telephone,1342776041,0,26
basement:washingmachine,1342776044,1,14
basement:tv,1342776047,0,13
master:lamp1,1342776054,0,21
master:iphone1,1342776062,1,21
master:clock1,1342776068,0,21
master:nightstand2,1342776076,2,21
master:clockphone,1342776083,5,21
master:cablemodem,1342776086,0,21
master:desklamp,1342776090,1,21
bedroom:lamp2,1342776097,0,19
bedroom:video,1342776105,5,19
bedroom:lamp1,1342776108,1,19
bedroom:noise,1342776112,1,19
bedroom:nitelight,1342776115,2,19
bedroom:ipod,1342776121,2,19
guest:clock,1342776125,2,3
guest:lamp,1342776129,1,3
basement:tv,1342777193,0,13
basement:tv,1342778385,0,13
master:lamp1,1342780689,0,21
master:nightstand2,1342780693,2,21
master:cablemodem,1342780696,0,21
master:desklamp,1342780700,1,21
master:lamp1,1342780733,0,21
master:nightstand2,1342780737,2,21
master:cablemodem,1342780740,0,21
master:desklamp,1342780743,1,21
basement:tv,1342781422,0,13
master:lamp1,1342781448,0,21
master:nightstand2,1342781452,2,21
master:cablemodem,1342781456,0,21
master:desklamp,1342781459,1,21
basement:tv,1342782887,0,13
master:lamp1,1342782991,0,21
master:nightstand2,1342782994,2,21
master:cablemodem,1342782997,0,21
master:desklamp,1342783001,1,21
master:lamp1,1342783053,0,21
master:nightstand2,1342783056,2,21
master:cablemodem,1342783064,0,21
master:desklamp,1342783067,1,21
master:lamp1,1342784148,0,21
master:nightstand2,1342784151,2,21
master:cablemodem,1342784154,0,21
master:desklamp,1342784158,1,21
master:lamp1,1342784210,0,21
master:nightstand2,1342784213,2,21
master:cablemodem,1342784216,0,21
master:desklamp,1342784220,1,21
basement:tv,1342785529,0,13
master:lamp1,1342785551,0,21
master:nightstand2,1342785558,2,21
master:cablemodem,1342785561,0,21
master:desklamp,1342785565,1,21
master:lamp1,1342785611,0,21
master:nightstand2,1342785614,2,21
master:cablemodem,1342785617,0,21
master:desklamp,1342785621,1,21
master:lamp1,1342786401,0,21
master:nightstand2,1342786404,0,21
master:nightstand2,1342786405,2,21
master:cablemodem,1342786408,0,21
master:desklamp,1342786416,1,21
master:lamp1,1342786524,0,21
master:nightstand2,1342786527,2,21
master:cablemodem,1342786530,0,21
master:desklamp,1342786534,1,21
basement:tv,1342786932,0,13
basement:tv,1342787827,0,13
basement:tv,1342788248,0,13
master:lamp1,1342788409,0,21
master:nightstand2,1342788413,2,21
master:cablemodem,1342788416,0,21
master:desklamp,1342788420,1,21
master:lamp1,1342788473,0,21
master:nightstand2,1342788476,2,21
master:cablemodem,1342788479,0,21
master:desklamp,1342788483,1,21
basement:tv,1342789629,0,13
master:lamp1,1342796088,0,21
master:nightstand2,1342796092,2,21
master:cablemodem,1342796095,0,21
master:desklamp,1342796099,1,21
master:lamp1,1342796150,0,21
master:nightstand2,1342796154,2,21
master:cablemodem,1342796157,0,21
master:desklamp,1342796161,1,21
basement:tv,1342796912,0,13
basement:tv,1342798275,0,13
master:lamp1,1342798402,0,21
master:nightstand2,1342798405,2,21
master:cablemodem,1342798408,0,21
master:desklamp,1342798412,1,21
master:lamp1,1342798464,0,21
master:nightstand2,1342798468,2,21
master:cablemodem,1342798471,0,21
master:desklamp,1342798474,1,21
basement:tv,1342801137,0,13
basement:tv,1342802492,0,13
master:lamp1,1342803086,0,21
master:nightstand2,1342803090,2,21
master:cablemodem,1342803093,0,21
master:desklamp,1342803096,2,21
master:lamp1,1342803148,0,21
master:nightstand2,1342803152,2,21
master:cablemodem,1342803155,0,21
master:desklamp,1342803159,1,21
master:lamp1,1342804367,0,21
master:nightstand2,1342804371,2,21
master:cablemodem,1342804374,0,21
master:desklamp,1342804377,1,21
master:lamp1,1342804679,0,21
master:nightstand2,1342804683,2,21
master:cablemodem,1342804686,0,21
master:desklamp,1342804690,1,21
basement:tv,1342805486,0,13
master:lamp1,1342806806,0,21
master:nightstand2,1342806809,2,21
master:cablemodem,1342806812,0,21
master:desklamp,1342806816,1,21
